Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
dinner,,,,"To finish off such a delightful <span class=""AS"">dinner</span> experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.","For <span class=""AS"">dinner</span> I had the chicken tikka-masala and some garlic naan.","I would highly recommend Nina's to anyone who wants to have a romantic <span class=""AS"">dinner</span> in a heart warming surrounding filled with candles and family pictures.","We made early <span class=""AS"">dinner</span> reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.","The chicken <span class=""AS"">dinner</span> was real good.","Shockingly easy to throw a group <span class=""AS"">dinner</span> here: simple contract, deposit only to hold the date the entire 2nd fl mezz for our grp of 20.","This is a nice restaurant if you are looking for a good place to host an intimate <span class=""AS"">dinner</span> meeting with business associates.","Probably much busier for lunch, it's seldom crowded for <span class=""AS"">dinner</span> (too close to downtown).","If it seemed possible to do so while there I would have fought my bill since my <span class=""AS"">dinner</span> portion of my meal was inedible!","We arrived for <span class=""AS"">dinner</span> expecting to be impressed by a place that has an impressive past - but, that's just it -- the PAST!","I took my boyfriend for a <span class=""AS"">dinner</span> on saturday night.","Similar to other Indian restaurants, they use the <span class=""AS"">dinner</span> special to attract customers at the door.","This restaurant used to be our regular Thursday night <span class=""AS"">dinner</span> location.","However, I was there for a work <span class=""AS"">dinner</span> not long ago when my colleague from London noticed a very large waterbug on the ceiling.","They didn't give us the <span class=""AS"">dinner</span> special until we asked for it.","I've been to Naples 45 for <span class=""AS"">dinner</span> twice.","We ended the <span class=""AS"">dinner</span> with a surprisingly light and flaky apple tarte tatin.","pre-theatre 3-course <span class=""AS"">dinner</span> with wine flight.","After <span class=""AS"">dinner</span> the manager grabbed my boyfriend, asked him: Where are you from...","My family and I ate here last night for our annual Christmas <span class=""AS"">dinner</span> with the family members who would rather spend the holidays with friends out-of-town."
experiences,experience,,,"To finish off such a delightful dinner <span class=""AS"">experience</span> you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.","This was the worst dining <span class=""AS"">experience</span> I've ever had.","We ended our great <span class=""AS"">experience</span> by having Gulab Jamun (dessert) recommended by the waiter.","I highly recommend the restaurant based on our <span class=""AS"">experience</span> last night.","If you are in search of the most authentic NYC deli <span class=""AS"">experience</span> look no further than the famous and historic Katz's Deli down on the Lower East Side.","With so many poor <span class=""AS"">experiences</span> to be had in the theater district, is truly an excellent find!","It is obvious that no one in the restaurant has any idea about or <span class=""AS"">experience</span> with Japanese cuisine.","Over the years, it has always provided a pleasurable dining <span class=""AS"">experience</span> with quality food and wine.","My first <span class=""AS"">experience</span> at Siam Square was very pleasant.","The entire dining <span class=""AS"">experience</span> was wonderful!","It is obvious that no one in the restaurant has any idea about or <span class=""AS"">experience</span> with Japanese cuisine.","We ended our great <span class=""AS"">experience</span> by having Gulab Jamun (dessert) recommended by the waiter.","Horrible <span class=""AS"">experience</span> - stay away!","Stepping into Casa La Femme last night was a true <span class=""AS"">experience</span> unlike any other in New York!","With so many poor <span class=""AS"">experiences</span> to be had in the theater district, is truly an excellent find!","Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect <span class=""AS"">experience</span> at Yasuda.","We go on Mondays for the prix fixe and our <span class=""AS"">experience</span> with the food has been comparable to Blue Ribbon.","You could get a much better dining <span class=""AS"">experience</span> for the same amount of money in a lot of other French Bistros.","The service was excellent, the food was excellent, but the entire <span class=""AS"">experience</span> was very cool.","I complete the total bagel <span class=""AS"">experience</span> by having it lightly toasted."
bread,,,,"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate <span class=""AS"">Bread</span> Pudding with Gelato and hot chocolate.","like saying her <span class=""AS"">bread</span> comes from a special bakery when we have seen her buying it","First the wrong <span class=""AS"">bread</span> came out with the appetizer, then when i tried to order a second glass of wine for my main course...","The <span class=""AS"">bread</span> we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing.","The <span class=""AS"">bread</span> and lamb chops","They are served on Focacchia <span class=""AS"">bread</span> and are to die for.","You must have the crabmeat lasagna which is out of this world and the chocolate <span class=""AS"">bread</span> pudding for dessert.","The <span class=""AS"">bread</span> is top notch as well.","On a recent Saturday night, I was with a group of 5 at the <span class=""AS"">Bread</span> Bar.","We visited <span class=""AS"">Bread</span> Bar during January restaurant week and were so pleased with the menu selections and service.","You must have the crabmeat lasagna which is out of this world and the chocolate <span class=""AS"">bread</span> pudding for dessert.","The <span class=""AS"">bread</span> was stale, the salad was overpriced and empty."
values,value,,,"This isn't a <span class=""AS"">value</span> joint.","This is a wonderful place on all stand points especially <span class=""AS"">value</span> ofr money.","In such a crappy part of town to find a good <span class=""AS"">value</span> for lunch, this place is great.","If you like the food and the <span class=""AS"">value</span> you get from some of Chinatown restaurants, this is not the place for you.","Among all of the new 5th avenue restaurants, this offers by far one of the best <span class=""AS"">values</span> for your money.","I found this restaurant to be one that truly <span class=""AS"">values</span> its patrons.","Amma has the worst <span class=""AS"">value</span> for money I have experienced in NYC over the past 2 years.","try the spicy shrimp appetizer (again, not the greatest <span class=""AS"">value</span> in the world but worth the price) and the lamb vindaloo is great.","Among all of the new 5th avenue restaurants, this offers by far one of the best <span class=""AS"">values</span> for your money.","Great <span class=""AS"">value</span> for the quality ingredients.","Highly recommend this as great <span class=""AS"">value</span> for excellent sushi and service.","I found the food, service and <span class=""AS"">value</span> exceptional everytime I have been there.","If you like the food and the <span class=""AS"">value</span> you get from some of Chinatown restaurants, this is not the place for you.","The service is really fast and friendly, and the <span class=""AS"">value</span> is great.","Orsay, is without a doubt one of the best <span class=""AS"">values</span> for authentic French food in NYC.","I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who <span class=""AS"">value</span> their money and time.","I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a <span class=""AS"">value</span> for your dollar.","Been going here since it opened have seen the quality <span class=""AS"">value</span> decrease considerably.","This is a wonderful place on all stand points especially <span class=""AS"">value</span> ofr money."
new york,,,,"Food was good and the view of the <span class=""AS"">new york</span> city skiline was terrific even on a foggy rainy day like that of when I went.","Food was good and the view of the <span class=""AS"">new york</span> city skiline was terrific even on a foggy rainy day like that of when I went.","The people that work there are always so friendly you forget you are in <span class=""AS"">New York</span> sometimes.","Every time in <span class=""AS"">New York</span> I make it a point to visit Restaurant Saul on Smith Street.","If you live in <span class=""AS"">new york</span> city, you'll find better food at small restaurants outside of time square and spend half the amount.","I was visiting <span class=""AS"">New York</span> City with a friend and we discovered this really warm and inviting restaurant.","While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in <span class=""AS"">New York</span> City, the food was not what I had hoped for.","and we had to try a <span class=""AS"">New York</span> Bagel.","Every time in <span class=""AS"">New York</span> I make it a point to visit Restaurant Saul on Smith Street.","You feel like you made it to <span class=""AS"">New York</span> when you eat here.","The <span class=""AS"">New York</span> Times has reviewed this place three times already, you know it's going to be good.","While most people can attest to spending over $50 on drinks in <span class=""AS"">New York</span> bars and hardly feeling a thing, the drinks here are plentiful and unique.","This place has got to be the best japanese restaurant in the <span class=""AS"">new york</span> area.","This is the best sushi in <span class=""AS"">new york</span> city - hands down.","While the $20 entree range is not overly expensive, in <span class=""AS"">New York</span> City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.","We've been following chef Lyle's food around <span class=""AS"">New York</span> for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.","Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in <span class=""AS"">New York</span> or anywhere in the US.","Even the pasta is delicious here (a rarity in <span class=""AS"">New York</span> pizza restaurants).","This place has got to be the best japanese restaurant in the <span class=""AS"">new york</span> area.","We live in New Jersey and whenever we go into <span class=""AS"">New York</span> City we buy bagels to eat hot and then to freeze (they told me that if I call in the order, they'd bring it out to the car"
city,,,,"Food was good and the view of the new york <span class=""AS"">city</span> skiline was terrific even on a foggy rainy day like that of when I went.","Well worth the trip, close to <span class=""AS"">City</span> Hall and downtown subway stops.","Food was good and the view of the new york <span class=""AS"">city</span> skiline was terrific even on a foggy rainy day like that of when I went.","Our son loves pizza and we have a certified Neapolitan pizzaria in our home <span class=""AS"">city</span> (Seattle), we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant.","I came into the <span class=""AS"">city</span> to try out this restaurant because a friend had recommended it to my husband.","I was visiting New York <span class=""AS"">City</span> with a friend and we discovered this really warm and inviting restaurant.","There are many Thai places in the <span class=""AS"">city</span> but so far Toons is #1.","Here's the thing, you're in the best <span class=""AS"">city</span> in the world for restaurants.","Really, I find it rather scandalous that such a crappy restaurant attracts such crowds--this, in the <span class=""AS"">city</span> of a million restaurants, at least 9/10 of which are way better than this one.","Chongqing Hot Pot, chongqing was the biggest <span class=""AS"">city</span> of Sichuan, now became an independent province.","This is the best sushi in new york <span class=""AS"">city</span> - hands down.","I came into the <span class=""AS"">city</span> to try out this restaurant because a friend had recommended it to my husband.","The waiter was attentive, the food was delicious and the views of the <span class=""AS"">city</span> were great.","this little place has a cute interior decor and affordable <span class=""AS"">city</span> prices.","Its an excellent place to relax and the food is one of the best in the <span class=""AS"">city</span> of New York.","the negative reviews on <span class=""AS"">city</span> search are probably from jealous competing restaurants who realize they can't compete with Temple's entire positive attitude about the proper way to treat their customers and deliver top quality food.","Love this place, every time we are in the <span class=""AS"">city</span> this is one of the places we always go.","We live in New Jersey and whenever we go into New York <span class=""AS"">City</span> we buy bagels to eat hot and then to freeze (they told me that if I call in the order, they'd bring it out to the car"
day,,,,"Food was good and the view of the new york city skiline was terrific even on a foggy rainy <span class=""AS"">day</span> like that of when I went.","I lived on 50th st, and wanted Indian one <span class=""AS"">day</span> so decided to check this place out.","Incredible food at a very agreable price brings me back just about every other <span class=""AS"">day</span> to this authentic Thai restaurant.","Went on a 3 <span class=""AS"">day</span> oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","first <span class=""AS"">day</span> the manager offerd us the margherita pizza adn we said yes.","Food was good and the view of the new york city skiline was terrific even on a foggy rainy <span class=""AS"">day</span> like that of when I went.","Went on a 3 <span class=""AS"">day</span> oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","On a hot <span class=""AS"">day</span> it was fabulous to stop in and enjoy lunch.","I had my eyes on this place, promising myself I will one <span class=""AS"">day</span> 'give it a try.'","I CAN EAT HERE EVERY <span class=""AS"">DAY</span> OF THE WEEK REALLY LOL LOVE THIS PLACE ...)","great toppings definitely a place you need to check out for late night munchies or a mid <span class=""AS"">day</span> boost!","this place... we stumbled upon it on labor <span class=""AS"">day</span> weekend.","Delivery can be spot on or lacking depending on the weather and the <span class=""AS"">day</span> of the week.","We live in the neighborhood and have been going there twice a week since the <span class=""AS"">day</span> they first opened.","I went to DF for Valentines <span class=""AS"">Day</span> dinner.","My friends settled for rice dishes, but we came back the following <span class=""AS"">day</span> to try the dim sum, which was good...not outstanding, but good.","good place to hang out during the <span class=""AS"">day</span> after shopping or to grab a simple soup or classic french dish over a glass of wine.","As a student in NYU i need a place to eat after a hard <span class=""AS"">day</span> of work"
area,,,,"Dug the blue bar <span class=""AS"">area</span> too.","In an <span class=""AS"">area</span> sadly lacking in decent Thai food, this is one of the best spots.","As a Japanese native, I've lived in the Tristate <span class=""AS"">area</span> for over 8 years, but I was just so amazed at this place.","For the next hour and a half we stood in the crowded lobby <span class=""AS"">area</span> of this touristy restaurant listening to all types of explanations of why we were not being seated.","I am relatively new to the <span class=""AS"">area</span> and tried Pick a bgel on 2nd and was disappointed with the service","THe back garden sitting <span class=""AS"">area</span> is very pleasant, where you can see their personal herb garden.","We asked to be moved (which took half an hour), and then were seated in a high traffic <span class=""AS"">area</span> in the back, even though the rest of the room was practically empty.","this is still one of my most favorite restaurants in the <span class=""AS"">area</span> the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.","The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the <span class=""AS"">area</span> beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).","Was her Monday for lunch - was working on a film in the <span class=""AS"">area</span> - and found this rare jewel.","As a Japanese native, I've lived in the Tristate <span class=""AS"">area</span> for over 8 years, but I was just so amazed at this place.","There are other Vietnamese restaurants in the chinatown <span class=""AS"">area</span> and you can forget about those.","In the summer months, the back garden <span class=""AS"">area</span> is really nice.","I understand the <span class=""AS"">area</span> and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","I am relatively new to the <span class=""AS"">area</span> and tried Pick a bgel on 2nd and was disappointed with the service","Yes you have to wait to be seated and because its small there is no waiting <span class=""AS"">area</span> and the seat at the bar was all taken.","We've lived in the <span class=""AS"">area</span> for more than 8 years.","Good French restaurant in an <span class=""AS"">area</span> devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants."
bar,,,,"Dug the blue <span class=""AS"">bar</span> area too.","I would recommend putting your name down and then getting a drink at a local <span class=""AS"">bar</span> first though because of the wait time.","After really enjoying ourselves at the <span class=""AS"">bar</span> we sat down at a table and had dinner.","We ate outside at Haru's Sake <span class=""AS"">bar</span> because Haru's restaurant next door was overflowing.","We ate outside at Haru's Sake <span class=""AS"">bar</span> because Haru's restaurant next door was overflowing.","This <span class=""AS"">bar</span> has it all - great drinks, cool atmosphere, excellent service and delicious food.","The only thing that my friend left out is that when we sat down at the <span class=""AS"">bar</span> the bartender disappeared.","The staff is very kind and well trained, they're fast, they are always prompt to jump behind the <span class=""AS"">bar</span> and fix drinks, they know details of every item in the menu and make excelent recomendations.","We were still sitting at the <span class=""AS"">bar</span> while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us","I live in the neighborhood and my friends meet me down here not only for the <span class=""AS"">bar</span> scene but also the promise of The Pizza Place at 3am.","It saves walking in and waiting for a table in the often noisy, crowded <span class=""AS"">bar</span> at dinnertime.","Disappointingly, their wonderful Saketini has been taken off the <span class=""AS"">bar</span> menu.","The place is larger than most and features adequate seating unlike most joints, and has a <span class=""AS"">bar</span> which deserves a mention.","Being serious sushi lovers, we sat at the sushi <span class=""AS"">bar</span> to be closer to the action.","We did have to wait at the <span class=""AS"">bar</span> for approx.","The place itself is beautiful the <span class=""AS"">bar</span> scene seems to be happening.","I had to wait for my friend at the <span class=""AS"">bar</span> for a few minutes","We were ushered to the <span class=""AS"">bar</span> to wait momentarily and upon arrival were so excited.","Friendly and informative staff, very attentive and prompt raw <span class=""AS"">bar</span> service.","The restaurant was packed at first, so we waited at the <span class=""AS"">bar</span> for about 20 minutes before we were seated."
ice cream,,,,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio <span class=""AS"">ice cream</span> (the best and freshest I've ever had).","My husband had the mesclun, salmon, and <span class=""AS"">ice cream</span> and he enjoyed all 3 courses."
dishes,dish,,,"The <span class=""AS"">dishes</span> offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","The dim sum is ok but doesn't taste that fresh, and the little <span class=""AS"">dishes</span> don't look steamy hot as they should (also note lack of Chinese here).","I ordered a Chicken Teriyaki <span class=""AS"">dish</span> and found that the chicken was extremely dry.","The <span class=""AS"">dish</span> had like 6 pieces of beef in it.","When the <span class=""AS"">dish</span> arrived it was blazing with green chillis, definitely not edible by a human.","The cold appetizer <span class=""AS"">dishes</span> taste like the way I remember them to taste when I was growing up in Taiwan.","Appetizers are somewhere around $7 each and the main <span class=""AS"">dishes</span> are between $11 and $16.","The food, served in small tasting portions (as an option) is very good with each <span class=""AS"">dish</span> being better than the next.","The selection changes frequently but the basic <span class=""AS"">dishes</span> are always available.","The food is delicious - from the specials to the regular menu-fare, the <span class=""AS"">dishes</span> are never a disappointment.","I had to ask her three times before she finally came back with the <span class=""AS"">dish</span> Ive requested.","This restaurant is VEGETARIAN; there are NO MEAT <span class=""AS"">dishes</span> whatsoever.","And it all comes at a very reasonable price (congee, noodles, and rice <span class=""AS"">dishes</span> are no more than $3-6 each).","This <span class=""AS"">dish</span> is my favorite","An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish <span class=""AS"">dishes</span> and soups.","rice <span class=""AS"">dishes</span> and noodle dishes rarely exceed $5 and add on a refreshing ice drink for $2","The chicken lollipop is my favorite, most of the <span class=""AS"">dishes</span> (I have to agree with a previous reviewer) are quite oily and very spicy, espeically the Chilli Chicken.","word of advice, save room for pasta <span class=""AS"">dishes</span> and never leave until you've had the tiramisu.","Two people in our party felt like something else, and Volare immediately obliged with two great <span class=""AS"">dishes</span> that were not in their regular menu.","From the erbazzone emiliana to the mostarda on the cheese plate, the <span class=""AS"">dishes</span> at this restaurant are all handled with delicate care."
shrimp,,,,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole <span class=""AS"">shrimp</span> to the amazing pistachio ice cream (the best and freshest I've ever had).","I believe there were 2 <span class=""AS"">shrimp</span> in the ""salt encrusted shrimp"" appetizer.","You must try the <span class=""AS"">shrimp</span> appetizers.","My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of <span class=""AS"">shrimp</span> and squid, and was unnecessarily heated with a burner.","I LOVE their Thai noodles with <span class=""AS"">shrimp</span> and chicken and coconut juice is the MUST!","try the spicy <span class=""AS"">shrimp</span> appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.","i had a delicious <span class=""AS"">shrimp</span> creole.","My wife had the fried <span class=""AS"">shrimp</span> which are huge and loved it.","You must try the <span class=""AS"">shrimp</span> appetizers.","The spicy tuna roll was unusually good and the rock <span class=""AS"">shrimp</span> tempura was awesome, great appetizer to share!","this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono <span class=""AS"">shrimp</span> special was excellent) and has a great atmosphere.","The lobster sandwich is good and the spaghetti with Scallops and <span class=""AS"">Shrimp</span> is great.","The food is great, I love their dumplings, cold sesame noodles, chicken and <span class=""AS"">shrimp</span> dishs.","For appetizers, I recommend the <span class=""AS"">shrimp</span> fritters and dumplings.","The <span class=""AS"">shrimp</span> scampi was excellent and the antipasti were plentiful.","I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of <span class=""AS"">shrimp</span> and basil."
